"last_name, first_name","player_id","year","pa","home_run","k_percent","bb_percent","p_hit_by_pitch","xba","xslg","sl_avg_speed","sl_avg_spin","ch_avg_speed","ch_avg_spin","cu_avg_speed","cu_avg_spin","si_avg_speed","si_avg_spin"
"Gaviglio, Sam","543208","2018","548","21",19.2,6.9,"4",".265",".435","83","2137","82.8","1473","77.9","2122","88","2040"
"Gray, Sonny","543243","2018","582","14",21.1,9.8,"8",".249",".385","84.6","2694","88.5","2014","82","2860","93","2312"
"Hendricks, Kyle","543294","2018","812","22",19.8,5.4,"9",".243",".388",,,"78.6","2090","71.8","2795","86.6","1947"
"Montgomery, Mike","543557","2018","534","10",16.1,7.3,"7",".273",".406",,,"83.1","1790","77.2","2302","91.5","1874"
"Odorizzi, Jake","543606","2018","711","20",22.8,9.8,"8",".245",".425","83.3","2202",,,"72.6","2290",,
"Roark, Tanner","543699","2018","760","24",19.2,6.6,"10",".255",".418","85","2286","83.4","1731","74.7","2744","91.4","2048"
"Strasburg, Stephen","544931","2018","544","18",28.7,7,"8",".230",".398","87.6","2275","88","1689","81.6","2729","93.9","2038"
"Bauer, Trevor","545333","2018","717","9",30.8,7.9,"9",".197",".307","83.1","2689","87","1852","79.1","2601","94.4","2317"
"Tanaka, Masahiro","547888","2018","635","25",25,5.5,"7",".242",".408","83.4","2405",,,"76.9","2429","90.6","1956"
"Stripling, Ross","548389","2018","503","18",27,4.4,"1",".221",".361","87","2362","84.4","1602","80.4","2652",,
"Wheeler, Zack","554430","2018","744","14",24.1,7.4,"9",".219",".334",,,"88.1","1788","79.3","2556","96.1","2240"
"Ureña, José","570632","2018","712","19",18.3,7.2,"12",".249",".393","86.4","2242","89.9","1813","84.8","2278","95.8","2124"
"Boyd, Matthew","571510","2018","709","27",22.4,7.2,"11",".209",".370","80.5","2322","78.6","1760","72.1","2276","90.1","2281"
"Corbin, Patrick","571578","2018","800","15",30.8,6,"5",".232",".361","81.7","2389","81","1710","72.5","2089","90.8","2215"
"Fiers, Mike","571666","2018","714","32",19.5,5.2,"8",".254",".480","85.2","2390","83.3","1894","72.4","2771","89.2","2239"
"Heaney, Andrew","571760","2018","749","27",24,6,"8",".244",".408",,,"83.3","1931","78.6","2383","91.9","2467"
"Matz, Steven","571927","2018","654","25",23.2,8.9,"10",".227",".375","88.2","2081","84.1","2224","78.5","2396","93.4","2069"
"Mikolas, Miles","571945","2018","808","16",18.1,3.6,"7",".245",".379","88","2361","88.4","1680","78.5","2613","93.5","2218"
"Paxton, James","572020","2018","645","23",32.2,6.5,"1",".220",".383",,,"86.5","2022","81.1","1949",,
"Skaggs, Tyler","572140","2018","533","14",24.2,7.5,"5",".242",".383",,,"84.2","1754","74.7","2675","90.8","2190"
"Keuchel, Dallas","572971","2018","874","18",17.5,6.6,"2",".246",".362","78.7","2190","79.6","1544",,,"89.1","2040"
"Straily, Dan","573185","2018","518","20",19.1,10,"7",".266",".475","83.7","2570","83.5","1493","75","2694","90.3","2247"
"Covey, Dylan","592229","2018","541","13",16.8,9.4,"2",".265",".414","86.8","2226","83.7","1649","81.2","2382","94.1","2035"
"Foltynewicz, Mike","592314","2018","743","17",27.2,9.2,"6",".202",".330","86.7","2518","87.8","1909","80","2499","96.5","2248"
"Gausman, Kevin","592332","2018","776","26",19.1,6.4,"7",".269",".446","81.4","2210","82","1701",,,,
"Gray, Jon","592351","2018","742","27",24.7,7,"6",".246",".392","87.8","2182","86.3","1557","79.6","2457","95","1883"
"Ray, Robbie","592662","2018","526","19",31.4,13.3,"5",".217",".362","84.5","2084",,,"82.6","2025","93.8","2241"
"Syndergaard, Noah","592789","2018","644","9",24.1,6.1,"7",".228",".312","92","2094","90.3","1638","83.1","2252","97.3","2152"
"Taillon, Jameson","592791","2018","785","20",22.8,5.9,"6",".238",".373","89.8","2393","87.9","1709","82.2","2649","95.2","2223"
"Velasquez, Vince","592826","2018","630","16",25.6,9.4,"8",".227",".350","84.9","2335","87.8","1642","81.4","2406","92.5","2001"
"Williams, Trevor","592866","2018","701","15",18,7.8,"4",".248",".395","81.4","2203","83.2","1681","75.5","1979","88.6","1874"
"Martinez, Carlos","593372","2018","521","5",22.5,11.5,"11",".217",".329","83.5","2156","86.8","1899","78.7","2037","92.6","2041"
"Rodriguez, Eduardo","593958","2018","553","16",26.4,8.1,"4",".228",".385","83.6","2204","87.4","2074",,,"93.2","2199"
"deGrom, Jacob","594798","2018","835","10",32.2,5.5,"5",".200",".289","91.1","2496","89","1700","82.7","2564","95.5","2257"
"Gonzales, Marco","594835","2018","686","17",21.1,4.7,"6",".262",".406",,,"83.6","2206","78.1","2450",,
"Junis, Jakob","596001","2018","758","32",21.6,5.7,"15",".248",".432","82.2","2474","84.7","1488","79.1","2364","90.6","1978"
"Weaver, Luke","596133","2018","609","19",19.9,8.9,"3",".259",".427",,,"85.4","1700","80.8","2218","92.1","1934"
"Pivetta, Nick","601713","2018","694","24",27.1,7.3,"5",".222",".375","84.9","2475","87.1","1863","80","2837","94.7","2192"
"Bundy, Dylan","605164","2018","750","41",24.5,7.2,"6",".244",".440","81.4","2482","83.7","1740","74.5","2220","91.5","2273"
"Clevinger, Mike","605182","2018","809","21",25.6,8.3,"4",".214",".354","79.5","2386","87.6","1500","75.4","2195",,
"Fulmer, Michael","605242","2018","558","19",19.7,8.2,"5",".262",".433","85.7","2521","88","1716",,,"95.7","2113"
"Nola, Aaron","605400","2018","831","17",27,7,"7",".202",".314",,,"84.8","1478","78","2545","91.4","2057"
"Snell, Blake","605483","2018","700","16",31.6,9.1,"1",".202",".341","88","2399","87.5","1777","81.3","2517",,
"Suárez, Andrew","605498","2018","665","23",19.5,6.8,"3",".263",".449","88.5","2164","85.9","1711","76.8","2433","92","1986"
"Rodón, Carlos","607074","2018","510","15",17.6,10.8,"12",".225",".371","85.4","2495","85.1","1767",,,"93.3","2149"
"Romano, Sal","607219","2018","644","23",16.3,8.2,"4",".269",".450","86.8","2337","87.7","1669","82.5","2400","94.1","2043"
"Freeland, Kyle","607536","2018","844","17",20.5,8.3,"6",".238",".373","85.8","2194","85.5","1393","79.9","2217","90.6","2212"
"Giolito, Lucas","608337","2018","775","27",16.1,11.6,"15",".255",".432","83.9","2015","81.7","1651","78.6","2359","92.4","2003"
"Márquez, Germán","608566","2018","815","24",28.2,7,"8",".224",".355","85.5","2349","85.7","1730","82","2689","94.1","2154"
"Stratton, Chris","608717","2018","625","19",17.9,8.6,"2",".283",".474","83.5","2798","84","1933","77.7","3109","90.7","2376"
"Chen, Wei-Yin","612672","2018","572","19",19.4,8.2,"1",".227",".368","84.9","2195","83","1461","73.3","2213","90.6","1968"
"Eflin, Zach","621107","2018","548","16",22.4,6.8,"3",".235",".382","85.9","2269","86.6","1730","77.6","2393","93","2056"
"Buehler, Walker","621111","2018","541","12",27.9,6.8,"6",".202",".311","87.1","2761","90.1","1690","80.2","2757","96.1","2300"
"McCullers Jr., Lance","621121","2018","527","12",26.9,9.5,"7",".220",".362",,,"87.3","1886","85.8","2790","94.2","2259"
"Berríos, José","621244","2018","797","25",25.3,7.7,"13",".223",".366",,,"83.7","1633","72.2","2293","92.8","2145"
"Blach, Ty","621389","2018","512","8",14.6,8,"1",".280",".413","78.8","2388","79.8","1988","75.7","2456","90","2124"
"Wood, Alex","622072","2018","637","14",21.2,6.3,"8",".240",".366",,,"83.7","1668","82.4","2049","89.9","1921"
"Castillo, Luis","622491","2018","708","28",23.3,6.9,"5",".244",".426","83.6","2206","86.2","1931",,,"95.6","2102"
"Severino, Luis","622663","2018","780","19",28.2,5.9,"5",".239",".393","88.1","2872","88.1","1648",,,,
"López, Reynaldo","625643","2018","799","25",18.9,9.4,"10",".253",".433","83.9","2119","83.6","1541","75.9","2065","93.5","2021"
"Maeda, Kenta","628317","2018","532","13",28.8,8.1,"5",".223",".358","84.1","2500",,,"77.3","2592","91.2","2178"
